bjsdhj hsadfsahfg uashguerjerhfuffdsfjnj											
											
											
			3	3	3	3	3	3	3	3	3
			4	4	4	4	4	4	4	4	4
			5	5	5	5	5	5	5	5	5
			6	6	6	6	6	6	6	6	6
			7	7	7	7	7	7	7	7	7
			7	7	7	7	7	7	7	7	7
			8.333333333	8.333333333	8.333333333	8.333333333	8.333333333	8.333333333	8.333333333	8.333333333	8.333333333
			9.19047619	9.19047619	9.19047619	9.19047619	9.19047619	9.19047619	9.19047619	9.19047619	9.19047619
			10.04761905	10.04761905	10.04761905	10.04761905	10.04761905	10.04761905	10.04761905	10.04761905	10.04761905
			10.9047619	10.9047619	10.9047619	10.9047619	10.9047619	10.9047619	10.9047619	10.9047619	10.9047619
			11.76190476	11.76190476	11.76190476	11.76190476	11.76190476	11.76190476	11.76190476	11.76190476	11.76190476
			12.61904762	12.61904762	12.61904762	12.61904762	12.61904762	12.61904762	12.61904762	12.61904762	12.61904762
			13.47619048	13.47619048	13.47619048	13.47619048	13.47619048	13.47619048	13.47619048	13.47619048	13.47619048
			14.33333333	14.33333333	14.33333333	14.33333333	14.33333333	14.33333333	14.33333333	14.33333333	14.33333333
			15.19047619	15.19047619	15.19047619	15.19047619	15.19047619	15.19047619	15.19047619	15.19047619	15.19047619
			16.04761905	16.04761905	16.04761905	16.04761905	16.04761905	16.04761905	16.04761905	16.04761905	16.04761905
			16.9047619	16.9047619	16.9047619	16.9047619	16.9047619	16.9047619	16.9047619	16.9047619	16.9047619
			17.76190476	17.76190476	17.76190476	17.76190476	17.76190476	17.76190476	17.76190476	17.76190476	17.76190476
			18.61904762	18.61904762	18.61904762	18.61904762	18.61904762	18.61904762	18.61904762	18.61904762	18.61904762
			19.47619048	19.47619048	19.47619048	19.47619048	19.47619048	19.47619048	19.47619048	19.47619048	19.47619048
			20.33333333	20.33333333	20.33333333	20.33333333	20.33333333	20.33333333	20.33333333	20.33333333	20.33333333
